Date	LHUR	PUNEW	FYFF	FYGM3	FYGT1	EXRUK	GDP_JP
1983:01 	10,36666667	98	8,77	8,35	9,04	149	278451,19
1983:02 	10,13333333	99,13333333	8,98	8,79	9,66	154,8	281202,31
1983:03 	9,366666667	100,1	9,45	9	10,16	149,86	285152,19
1983:04 	8,533333333	101,1	9,47	9	10,11	143,38	286365,69
1984:01 	7,866666667	102,5333333	9,91	9,52	10,59	145,57	292292,91
1984:02 	7,433333333	103,5	11,06	9,87	12,08	137,7	298527,81
1984:03 	7,433333333	104,4	11,3	10,37	11,58	125,63	303875,69
1984:04 	7,3	105,3	8,38	8,06	9,33	118,61	308001,59
1985:01 	7,233333333	106,2666667	8,58	8,52	9,86	112,53	316702,19
1985:02 	7,3	107,2333333	7,53	6,95	7,8	128,08	320064,19
1985:03 	7,2	107,9	7,92	7,1	8,07	136,42	324477,19
1985:04 	7,033333333	109	8,27	7,1	7,67	144,47	332086,5
1986:01 	7,033333333	109,5666667	7,48	6,56	7,03	146,74	332099
1986:02 	7,166666667	109,0333333	6,92	6,21	6,73	150,85	337871,41
1986:03 	6,966666667	109,7	5,89	5,21	5,77	146,98	341120,69
1986:04 	6,833333333	110,4666667	6,91	5,53	5,87	143,93	343613,91
1987:01 	6,6	111,8	6,13	5,59	6,03	159,23	344760,41
1987:02 	6,266666667	113,0666667	6,73	5,67	6,8	162,88	346317,41
1987:03 	6	114,2666667	7,22	6,4	7,67	164,46	355160,31
1987:04 	5,833333333	115,3333333	6,77	5,77	7,17	182,88	363021,31
1988:01 	5,7	116,2333333	6,58	5,7	6,71	183,3	371485,59
1988:02 	5,466666667	117,5666667	7,51	6,46	7,49	177,68	373538,81
1988:03 	5,466666667	119	8,19	7,24	8,09	168,4	382391,5
1988:04 	5,333333333	120,3	8,76	8,07	8,99	182,58	389289,19
1989:01 	5,2	121,6666667	9,85	8,82	9,57	171,34	400800
1989:02 	5,233333333	123,6333333	9,53	8,15	8,44	155,3	400100,69
1989:03 	5,233333333	124,6	9,02	7,75	8,22	157,15	410036,41
1989:04 	5,366666667	125,8666667	8,45	7,63	7,72	159,65	422579,09
1990:01 	5,3	128,0333333	8,28	7,9	8,35	162,45	424834,19
1990:02 	5,333333333	129,3	8,29	7,73	8,1	171,03	439094,69
1990:03 	5,7	131,5333333	8,2	7,36	7,76	187,94	446521,19
1990:04 	6,133333333	133,7666667	7,31	6,74	7,05	192,19	450219,81
1991:01 	6,6	134,7666667	6,12	5,91	6,4	182,14	462847,19
1991:02 	6,833333333	135,5666667	5,9	5,57	6,36	164,97	465150,09
1991:03 	6,866666667	136,6	5,45	5,22	5,57	172,65	469224,09
1991:04 	7,1	137,7333333	4,43	4,07	4,38	182,72	475944,41
1992:01 	7,366666667	138,6666667	3,98	4,04	4,63	172,38	477201,09
1992:02 	7,6	139,7333333	3,76	3,66	4,17	185,51	481668,41
1992:03 	7,633333333	140,8	3,22	2,91	3,18	184,65	482419,69
1992:04 	7,366666667	142,0333333	2,92	3,22	3,71	155,1	480767,81
1993:01 	7,133333333	143,0666667	3,07	2,95	3,33	146,17	489538,81
1993:02 	7,066666667	144,1	3,04	3,07	3,54	150,82	483332,5
1993:03 	6,8	144,7666667	3,09	2,95	3,36	152,48	482328,09
1993:04 	6,633333333	145,9666667	2,96	3,06	3,61	149,13	481369,69
1994:01 	6,566666667	146,7	3,34	3,5	4,32	149,19	486649
1994:02 	6,2	147,5333333	4,25	4,14	5,27	152,62	489262
1994:03 	6	148,9	4,73	4,62	5,76	156,61	492229
1994:04 	5,633333333	149,7666667	5,45	5,6	7,14	155,87	491944
1995:01 	5,466666667	150,8666667	5,98	5,73	6,43	160,02	492390
1995:02 	5,666666667	152,1	6	5,47	5,64	159,48	493974
1995:03 	5,666666667	152,8666667	5,8	5,28	5,62	155,9	499014
1995:04 	5,566666667	153,7	5,6	5,14	5,31	154,05	501389
1996:01 	5,533333333	155,0666667	5,31	4,96	5,34	152,71	503903
1996:02 	5,5	156,4	5,27	5,09	5,81	154,16	509525
1996:03 	5,266666667	157,3	5,3	5,09	5,83	155,93	510978
1996:04 	5,333333333	158,6666667	5,29	4,91	5,47	166,39	517045
1997:01 	5,233333333	159,6333333	5,39	5,14	5,8	160,96	520537
1997:02 	5	160	5,56	4,93	5,69	164,49	520930
1997:03 	4,866666667	160,8	5,54	4,95	5,52	160,13	519672
1997:04 	4,666666667	161,6666667	5,5	5,16	5,53	165,97	523638
1998:01 	4,633333333	162	5,49	5,03	5,39	166,19	517862
1998:02 	4,4	162,5333333	5,56	4,98	5,41	165,04	511371
1998:03 	4,533333333	163,3666667	5,51	4,61	4,71	168,23	513628
1998:04 	4,433333333	164,1333333	4,68	4,39	4,52	167,08	515037
1999:01 	4,3	164,7333333	4,81	4,44	4,78	162,13	508639
1999:02 	4,266666667	165,9666667	4,76	4,57	5,1	159,5	509767
1999:03 	4,233333333	167,2	5,22	4,68	5,25	162,47	506001
1999:04 	4,066666667	168,4333333	5,3	5,2	5,84	161,32	506428
2000:01:00	4,033333333	170,1	5,85	5,69	6,22	157,99	509212
2000:02:00	3,933333333	171,4333333	6,53	5,69	6,17	150,9245	510965
2000:03:00	4	173	6,52	6	6,13	143,355	511652
2000:04:00	3,9	174,2333333	6,4	5,77	5,6	146,2915	514879
2001:01:00	4,233333333	175,9	5,31	4,42	4,3	144,4459	516339
2001:02:00	4,4	177,2666667	3,97	3,49	3,58	140,201	507542
2001:03:00	4,833333333	177,6666667	3,07	2,64	2,82	146,3811	502521
2001:04:00	5,533333333	177,4333333	1,82	1,69	2,22	144,1265	497700
2002:01:00	5,7	178,0666667	1,73	1,79	2,57	142,3024	497409
2002:02:00	5,833333333	179,5	1,75	1,7	2,2	148,3685	497511
2002:03:00	5,733333333	180,4333333	1,75	1,63	1,72	155,63	500751
2002:04:00	5,866666667	181,3666667	1,24	1,19	1,45	158,63	498534
2003:01:00	5,833333333	183,2333333	1,25	1,13	1,24	158,25	494468
2003:02:00	6,133333333	183,4	1,22	0,92	1,01	166,0876	497335
2003:03:00	6,133333333	184,4	1,01	0,94	1,24	161,55	498889
2003:04:00	5,866666667	184,8	0,98	0,9	1,31	175,16	502022
2004:01:00	5,666666667	186,5666667	1	0,94	1,19	182,61	507510
2004:02:00	5,566666667	188,6	1,03	1,27	2,12	182,7909	505843
2004:03:00	5,433333333	189,3666667	1,61	1,65	2,12	179,37	504948,91
2004:04:00	5,433333333	191,0333333	2,16	2,19	2,67	192,9214	505073,69
2005:01:00	5,266666667	192,1666667	2,63	2,74	3,3	190,43	508505,5
